TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26	441	15546486	KOMATI FRUITS ( P	HL 	79	141623	24	79	0		1	6	261	261	ORGS	CTT150	NV	1	*	56	*		 	441	ORGS,CTT150,NV,CL 1,*,56,*	22
R S A MARKET AGENTS	RIAAN  JOUBERT			06-AUG-26	06-AUG-26	8920	15576977	KOMATI FRUITS ( P	HL 	79	141623	24	79	0		1	6	261	261	ORGS	CTT150	MN	1	*	56	*		 	8920	ORGS,CTT150,MN,CL 1,*,56,*	7
R S A MARKET AGENTS	RIAAN  JOUBERT			07-AUG-26	07-AUG-26	1039	15578673	KOMATI FRUITS ( P	HL 	400	141623	24	400	0		1	6	261	261	ORGS	CTT150	MN	1	*	56	*		 	1039	ORGS,CTT150,MN,CL 1,*,56,*	5
R S A MARKET AGENTS	RIAAN  JOUBERT			07-AUG-26	07-AUG-26	7059	15578677	KOMATI FRUITS ( P	HL 	1040	141623	24	1040	0		1	6	261	261	ORGS	CTT150	MN	1	*	56	*		 	7059	ORGS,CTT150,MN,CL 1,*,56,*	5
R S A MARKET AGENTS	RIAAN  JOUBERT			10-AUG-26	10-AUG-26	3988	15581892	KOMATI FRUITS ( P	HL 	1200	141623	24	1200	0		1	6	261	261	ORGS	CTT150	MN	1	*	56	*		 	3988	ORGS,CTT150,MN,CL 1,*,56,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			10-AUG-26	10-AUG-26	2680	15581894	KOMATI FRUITS ( P	HL 	480	141623	24	480	0		1	6	261	261	ORGS	CTT150	MN	2	*	56	*		 	2680	ORGS,CTT150,MN,CL 2,*,56,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			10-AUG-26	10-AUG-26	2460	15581920	KOMATI FRUITS ( P	HL 	1040	141623	24	1040	0		1	6	261	261	ORGS	CTT150	MN	1	*	56	*		 	2460	ORGS,CTT150,MN,CL 1,*,56,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			10-AUG-26	10-AUG-26	3150	15581921	KOMATI FRUITS ( P	HL 	560	141623	24	560	0		1	6	261	261	ORGS	CTT150	MN	2	*	56	*		 	3150	ORGS,CTT150,MN,CL 2,*,56,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			17-JUL-26	17-JUL-26	5041	15540206	KOMATI FRUITS ( P	HL 	79	141623	24	79	0		1	6	261	261	ORGS	CTT150	NV	1	*	64	*		 	5041	ORGS,CTT150,NV,CL 1,*,64,*	26
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26	277	15529539	KOMATI FRUITS ( P	HL 	66	141623	24	66	0		1	6	261	261	ORGS	CTT150	NV	1	*	64	*		*	277	ORGS,CTT150,NV,CL 1,*,64,*	32
R S A MARKET AGENTS	RIAAN  JOUBERT			15-JUL-26	15-JUL-26	498	15534100	KOMATI FRUITS ( P	HL 	76	141623	24	76	0		1	6	261	261	ORGS	CTT150	NV	1	*	72	*		*	498	ORGS,CTT150,NV,CL 1,*,72,*	29
R S A MARKET AGENTS	RIAAN  JOUBERT			22-JUL-26	22-JUL-26	554	15546491	KOMATI FRUITS ( P	HL 	76	141623	24	76	0		1	6	261	261	ORGS	CTT150	NV	1	*	72	*		*	554	ORGS,CTT150,NV,CL 1,*,72,*	22
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26	2696	15529540	KOMATI FRUITS ( P	HL 	308	141623	24	308	0		1	6	261	261	ORGS	CTT150	NV	1	*	72	*		*	2696	ORGS,CTT150,NV,CL 1,*,72,*	32
R S A MARKET AGENTS	RIAAN  JOUBERT			01-JUL-26	01-JUL-26	7363	15510726	KOMATI FRUITS ( P	HL 	318	141623	24	318	0		1	6	261	261	ORGS	CTT150	NV	2	*	88	*		 	7363	ORGS,CTT150,NV,CL 2,*,88,*	43
R S A MARKET AGENTS	RIAAN  JOUBERT			12-JUL-26	12-JUL-26	2197	15529492	KOMATI FRUITS ( P	HL 	317	141623	24	317	0		1	6	261	261	ORGS	CTT150	NV	1	*	88	*		*	2197	ORGS,CTT150,NV,CL 1,*,88,*	32
R S A MARKET AGENTS	RIAAN  JOUBERT			14-JUL-26	14-JUL-26	4263	15533747	KOMATI FRUITS ( P	HL 	78	141623	24	78	0		1	6	261	261	ORGS	CTT150	NV	1	*	105	*		 	4263	ORGS,CTT150,NV,CL 1,*,105,*	30
R S A MARKET AGENTS	RIAAN  JOUBERT			02-AUG-26	02-AUG-26	7952	15567414	LANGPLAAS BOERDER	HL 	2	141623	24	2	0		1	6	261	261	BERS	PTB025	*	0	*	16	*		 	7952	BERS,PTB025,*,*,*,16,*	10
R S A MARKET AGENTS	RIAAN  JOUBERT			10-AUG-26	10-AUG-26	6259	15581797	MOUTON CITRUS (PT	HL 	104	141623	24	104	0		1	6	261	261	NAAR	CO100	TA	1	1XXX	*	*		 	6259	NAAR,CO100,TA,CL 1,1XXX,*,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			10-AUG-26	10-AUG-26	1309	15581784	MOUTON CITRUS (PT	HL 	576	141623	24	576	0		1	6	261	261	NAAR	CO100	TA	1	1XX	*	*		 	1309	NAAR,CO100,TA,CL 1,1XX,*,*	3
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	8052	15553984	MOUTON CITRUS (PT	HL 	48	141623	24	48	0		1	6	261	261	NAAR	CO150	TA	1	1XX	*	*		 	8052	NAAR,CO150,TA,CL 1,1XX,*,*	18
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	2844	15553967	MOUTON CITRUS (PT	HL 	34	141623	24	34	0		1	6	261	261	NAAR	CO100	NAR	1	2	*	*		 	2844	NAAR,CO100,NAR,CL 1,2,*,*	18
R S A MARKET AGENTS	RIAAN  JOUBERT			26-JUL-26	26-JUL-26	8045	15553954	MOUTON CITRUS (PT	HL 	116	141623	24	116	0		1	6	261	261	NAAR	CO100	TA	1	2	*	*		*	8045	NAAR,CO100,TA,CL 1,2,*,*	18
R S A MARKET AGENTS	RIAAN  JOUBERT			10-AUG-26	10-AUG-26	7596	15581792	MOUTON CITRUS (PT	HL 	380	141623	24	380	0		1	6	261	261	NAAR	CO100	TA	1	1X	*	*		 	7596	NAAR,CO100,TA,CL 1,1X,*,*	3
