TENAME	NAME	WHOLESALER	ODS_AGREE	DN_DATE_TIME	DN_DATE	SHORTSEQ	GRNID	PROD	LOC	QTY	PERID	TEID	QTY_AVAIL	QTY_SUSP	ORIGIN	RECTYPE	LU_ID	LOCATION	LOC_ID	COMMODITY	CONTAINER	VARIETY	CLASS	SIZ_REF	CNT_REF	COLOR	QTY_LATE	CF_CS_FLAG	CF_SORTING	CF_COMDTY_STRING	CF_DAYS_ON_FLOOR
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	5576	15576928	POTGIETER BOERDER	HL 	59	82089	24	59	0		1	6	261	261	AVOS	TR040	AF	1	*	20	*		 	5576	AVOS,TR040,AF,CL 1,*,20,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			07-AUG-26	07-AUG-26	8915	15576916	POTGIETER BOERDER	HL 	216	82089	24	216	0		1	6	261	261	AVOS	TR040	AF	1	*	14	*		 	8915	AVOS,TR040,AF,CL 1,*,14,*	6
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-AUG-26	12-AUG-26	7922	15585656	PROFESSIONAL HORT	HL 	77	82089	24	77	0		1	6	261	261	BERS	PTB025	*	0	*	16	*		 	7922	BERS,PTB025,*,*,*,16,*	1
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-AUG-26	12-AUG-26	4056	15585646	PROFESSIONAL HORT	HL 	300	82089	24	300	0		1	6	261	261	BERS	TR015	*	0	L	*	*		 	4056	BERS,TR015,*,*,L,*,*	1
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			10-AUG-26	10-AUG-26	6980	15581331	SAMPADA AGRI (PTY	HL 	323	82089	24	323	0		1	6	261	261	BERS	PTB025	*	0	*	16	*		 	6980	BERS,PTB025,*,*,*,16,*	3
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			11-AUG-26	11-AUG-26	3650	15581454	SELOKWE AGRI (PTY	HL 	61	82089	24	61	0		1	6	261	261	AVOS	TR040	AC	2	*	18	*		 	3650	AVOS,TR040,AC,CL 2,*,18,*	2
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			18-JUN-26	18-JUN-26	6410	15491628	SRCC MARKETING (P	HL 	353	82089	24	353	0		1	6	261	261	LEMS	CTT150	*	12	*	64	*		 	6410	LEMS,CTT150,*,LOWEST CLASS,*,64,*	56
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			18-JUN-26	18-JUN-26	7875	15491635	SRCC MARKETING (P	HL 	661	82089	24	661	0		1	6	261	261	LEMS	CTT150	*	12	*	75	*		 	7875	LEMS,CTT150,*,LOWEST CLASS,*,75,*	56
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	179	15484064	SRCC MARKETING (P	HL 	81	82089	24	81	0		1	6	261	261	LEMS	CTT150	*	1	*	56	*		 	179	LEMS,CTT150,*,CL 1,*,56,*	62
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	4027	15484067	SRCC MARKETING (P	HL 	18	82089	24	18	0		1	6	261	261	LEMS	CTT150	*	2	*	48	*		 	4027	LEMS,CTT150,*,CL 2,*,48,*	62
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			18-JUN-26	18-JUN-26	7853	15491547	SRCC MARKETING (P	HL 	97	82089	24	97	0		1	6	261	261	LEMS	CTT150	*	1	*	48	*		 	7853	LEMS,CTT150,*,CL 1,*,48,*	56
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	44	15484071	SRCC MARKETING (P	HL 	46	82089	24	46	0		1	6	261	261	LEMS	CTT150	*	2	*	56	*		 	44	LEMS,CTT150,*,CL 2,*,56,*	62
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			18-JUN-26	18-JUN-26	7863	15491623	SRCC MARKETING (P	HL 	56	82089	24	56	0		1	6	261	261	LEMS	CTT150	*	2	*	56	*		 	7863	LEMS,CTT150,*,CL 2,*,56,*	56
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	3819	15482750	SRCC MARKETING (P	HL 	23	82089	24	23	0		1	6	261	261	NOVA	CO150	*	1	1	*	*		 	3819	NOVA,CO150,*,CL 1,1,*,*	61
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	3679	15484024	SRCC MARKETING (P	HL 	287	82089	24	287	0		1	6	261	261	NOVA	CO100	*	1	1XX	*	*		 	3679	NOVA,CO100,*,CL 1,1XX,*,*	61
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			12-JUN-26	12-JUN-26	4162	15484028	SRCC MARKETING (P	HL 	14	82089	24	14	0		1	6	261	261	NOVA	CO100	*	1	1XXX	*	*		 	4162	NOVA,CO100,*,CL 1,1XXX,*,*	61
R S A MARKET AGENTS	CHRISTOFF REINHARDT  DE WET			01-JUL-26	01-JUL-26	449	15509536	SRCC MARKETING (P	HL 	72	82089	24	72	0		1	6	261	261	ORGS	CTT150	NV	2	*	56	*		 	449	ORGS,CTT150,NV,CL 2,*,56,*	43
